"Model","Scenario","Overshoot","Coal.Asia.20-30","Coal.Asia.30-40","Coal.Asia.40-50","Coal.LAM.20-30","Coal.LAM.30-40","Coal.LAM.40-50","Coal.MAF.20-30","Coal.MAF.30-40","Coal.MAF.40-50","Coal.OECD.20-30","Coal.OECD.30-40","Coal.OECD.40-50","Coal.REF.20-30","Coal.REF.30-40","Coal.REF.40-50","Gas.Asia.20-30","Gas.Asia.30-40","Gas.Asia.40-50","Gas.LAM.20-30","Gas.LAM.30-40","Gas.LAM.40-50","Gas.MAF.20-30","Gas.MAF.30-40","Gas.MAF.40-50","Gas.OECD.20-30","Gas.OECD.30-40","Gas.OECD.40-50","Gas.REF.20-30","Gas.REF.30-40","Gas.REF.40-50"
"IMAGE 3.0.1","IMA15-AGInt","NO/LO","A","B","","A","","","A","","","A","","","","","","","A","A","","","","","","","","A","A","","","A"
"IMAGE 3.0.1","IMA15-Def","NO/LO","A","B","","A","","","A","","","A","","","","A","","","A","","","","","","","","","A","","A","A","A"
"IMAGE 3.0.1","IMA15-Eff","NO/LO","A","B","","A","","","A","","","B","","","","A","","","A","A","","A","","","A","","","A","","A","","A"
"IMAGE 3.0.1","IMA15-LiStCh","NO/LO","A","B","","A","","","A","","","A","","","","","","","A","A","","","","","","","","A","A","","","A"
"IMAGE 3.0.1","IMA15-LoNCO2","HO","A","B","","A","","","A","","","A","","","","","","","A","A","","","","","","","","A","A","","","A"
"IMAGE 3.0.1","IMA15-Pop","NO/LO","A","B","","A","","","A","","","A","","","","","","","A","A","","","","","","","","A","A","","","A"
"IMAGE 3.0.1","IMA15-RenElec","HO","B","A","","A","","","A","","","B","","","","","","","B","","","B","","","","","","A","","","","A"
"IMAGE 3.0.1","IMA15-TOT","NO/LO","B","B","","","","","A","","","A","A","","A","","","","A","","A","A","","","","","A","A","","A","","A"
"IMAGE 3.0.1","SSP1-19","NO/LO","B","A","","A","","","A","","","D","","","A","A","","","A","","","","","","","","","A","","A","","B"
"MERGE-ETL 6.0","DAC15_50","NO/LO","C","","",NA,NA,NA,"","","","B","","","A","","","","","",NA,NA,NA,"","C","","A","A","","B","B",""
"MESSAGE-GLOBIOM 1.0","ADVANCE_2020_1.5C-2100","NO/LO","C","","","","","","A","","","A","","","","","","","","","B","","","","","","","","","C","B",""
"MESSAGE-GLOBIOM 1.0","ADVANCE_2030_Price1.5C","HO","","C","","","","","A","","","A","","","","A","","","","B","","C","","","B","","","A","A","","C","A"
"MESSAGE-GLOBIOM 1.0","EMF33_1.5C_cost100","NO/LO","C","","","","","","B","","","B","","","A","","","","","","B","","A","","","","","","A","C","","A"
"MESSAGE-GLOBIOM 1.0","EMF33_1.5C_full","NO/LO","C","","","","","","B","","","B","","","A","","","","","","B","","","","","","","","A","C","","A"
"MESSAGE-GLOBIOM 1.0","EMF33_WB2C_cost100","HO","B","A","","","","","B","","","B","","","A","","","","","","","","","","","","","","","","","A"
"MESSAGE-GLOBIOM 1.0","EMF33_WB2C_full","HO","B","B","","","","","B","","","A","","","A","","","","","","","","","","","","","","","","","A"
"MESSAGE-GLOBIOM 1.0","EMF33_WB2C_limbio","HO","C","","","","","","B","","","B","","","A","","","","","","","","","","","","","","","","","A"
"MESSAGE-GLOBIOM 1.0","EMF33_WB2C_nofuel","HO","B","A","","","","","B","","","B","","","A","","","","","","","A","","","","","","","","","",""
"MESSAGE-GLOBIOM 1.0","SSP1-19","NO/LO","C","A","","","","","A","","","B","","","A","","","","","","","A","","","","","","","","","",""
"MESSAGE-GLOBIOM 1.0","SSP2-19","NO/LO","C","","","","","","B","","","B","","","A","","","","","","","B","A","","","","","","","","B","A"
"MESSAGEix-GLOBIOM 1.0","CD-LINKS_NPi2020_400","HO","B","","","","","","A","","","A","","","A","","","","","","A","","A","","","","","","","","A","A"
"POLES ADVANCE","ADVANCE_2020_1.5C-2100","NO/LO","C","A","","","","","","","","A","","","A","A","","","","","","A","","","A","","","A","","A","A","A"
"POLES ADVANCE","ADVANCE_2020_WB2C","HO","B","A","","","","","","","","A","","","A","A","","","","","","","","","","","","A","","","A","A"
"POLES ADVANCE","ADVANCE_2030_1.5C-2100","HO","","C","","","A","","","A","","A","A","","","C","","","A","","","B","","","B","","","A","","","D",""
"POLES ADVANCE","ADVANCE_2030_Price1.5C","HO","","C","","","A","","","A","","A","A","","","C","","","A","","","A","","","B","","","A","","","D",""
"POLES ADVANCE","ADVANCE_2030_WB2C","HO","","B","","","","","","A","","A","A","","","B","","","","","","","","","A","","","A","","","A","A"
"POLES EMF33","EMF33_1.5C_cost100","NO/LO",NA,NA,NA,NA,NA,NA,"A","","",NA,NA,NA,"B","","",NA,NA,NA,NA,NA,NA,"B","","",NA,NA,NA,"B","",""
"POLES EMF33","EMF33_1.5C_full","NO/LO",NA,NA,NA,NA,NA,NA,"A","","",NA,NA,NA,"B","","",NA,NA,NA,NA,NA,NA,"A","","",NA,NA,NA,"B","",""
"POLES EMF33","EMF33_1.5C_limbio","NO/LO",NA,NA,NA,NA,NA,NA,"D","","",NA,NA,NA,"D","","",NA,NA,NA,NA,NA,NA,"C","","",NA,NA,NA,"C","",""
"POLES EMF33","EMF33_1.5C_nofuel","NO/LO",NA,NA,NA,NA,NA,NA,"A","","",NA,NA,NA,"B","","",NA,NA,NA,NA,NA,NA,"B","A","",NA,NA,NA,"C","",""
"POLES EMF33","EMF33_WB2C_cost100","NO/LO",NA,NA,NA,NA,NA,NA,"A","","",NA,NA,NA,"A","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"A","",""
"POLES EMF33","EMF33_WB2C_full","NO/LO",NA,NA,NA,NA,NA,NA,"A","","",NA,NA,NA,"A","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"A","",""
"POLES EMF33","EMF33_WB2C_limbio","NO/LO",NA,NA,NA,NA,NA,NA,"A","","",NA,NA,NA,"A","","",NA,NA,NA,NA,NA,NA,"A","","",NA,NA,NA,"A","A",""
"POLES EMF33","EMF33_WB2C_nobeccs","NO/LO",NA,NA,NA,NA,NA,NA,"A","","",NA,NA,NA,"B","","",NA,NA,NA,NA,NA,NA,"A","A","",NA,NA,NA,"B","A",""
"POLES EMF33","EMF33_WB2C_nofuel","NO/LO",NA,NA,NA,NA,NA,NA,"A","","",NA,NA,NA,"A","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"A","",""
"POLES EMF33","EMF33_WB2C_none","NO/LO",NA,NA,NA,NA,NA,NA,"A","","",NA,NA,NA,"B","","",NA,NA,NA,NA,NA,NA,"A","A","",NA,NA,NA,"B","A",""
"REMIND 1.7","ADVANCE_2020_1.5C-2100","HO","C","B","","","","","","","","B","","","A","","","","B","","A","","","B","C","","A","B","","C","B",""
"REMIND 1.7","ADVANCE_2030_1.5C-2100","HO","","B","A","","","","","","","B","A","","","","","","A","","","A","","","C","C","","A","","","C","B"
"REMIND 1.7","ADVANCE_2030_Price1.5C","HO","","B","A","","","","","","","B","A","","","","","","A","A","","A","","","C","C","","A","","","C","B"
"REMIND 1.7","CEMICS-1.5-CDR12","NO/LO","B","B","","","","","","","","B","","","A","","","","B","","B","","","C","C","","A","B","","C","B",""
"REMIND 1.7","CEMICS-1.5-CDR20","HO","B","B","","","","","","","","B","","","A","","","","B","","B","","","B","C","","A","B","","B","B",""
"REMIND 1.7","CEMICS-1.5-CDR8","NO/LO","C","B","","","","","","","","B","","","A","","","A","","","B","","","C","C","","A","B","","C","B",""
"REMIND-MAgPIE 1.5","SSP1-19","HO","B","B","","","A","","","","","A","A","","","","","","A","","A","A","","B","C","","A","A","","A","B","A"
"REMIND-MAgPIE 1.5","SSP2-19","HO","B","B","","A","B","","","","","A","A","","","","","","","","A","B","","B","C","","A","A","","A","B","A"
"REMIND-MAgPIE 1.5","SSP5-19","HO","B","A","","","","","","","","A","","","","","","","A","A","","B","A","","B","","","A","A","","A","B"
"REMIND-MAgPIE 1.7-3.0","CD-LINKS_NPi2020_400","HO","B","B","","","","","","","","A","","","A","","","","B","","A","","","B","C","","A","B","","B","B",""
"REMIND-MAgPIE 1.7-3.0","EMF33_1.5C_cost100","HO","C","B","","A","","","","","","B","A","","","","","","","","A","","","A","B","","","","","D","B",""
"REMIND-MAgPIE 1.7-3.0","EMF33_1.5C_full","HO","C","B","","","","","","","","B","A","","","","","","","","","A","","A","B","","","","","A","B",""
"REMIND-MAgPIE 1.7-3.0","EMF33_1.5C_nofuel","HO","C","B","","A","","","","","","B","A","","","","","","","","A","","","B","C","","","A","","D","B",""
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","HO","C","B","","","","","","","","A","","","","","","","","","A","","","B","C","","","B","","B","B",""
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_goodpractice","HO","","B","A","","","","","","","A","","","","","","","","A","","A","","","C","C","","B","A","","B","A"
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_NDC","HO","","B","A","","","","","","","A","A","","","","","","","A","","A","","","C","C","","B","A","","C","B"
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_netzero","HO","B","B","","","","","","","","A","A","","","","","","","A","","A","","","B","B","","A","A","A","B","A"
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_red_eff","NO/LO","B","B","","","","","","","","A","","","","","","","","","A","","","C","C","","A","B","","C","B",""
"REMIND-MAgPIE 1.7-3.0","SMP_1p5C_Def","NO/LO","C","","","","","","","","","A","","","","","","","B","","A","","","B","","","A","A","","B","B",""
"REMIND-MAgPIE 1.7-3.0","SMP_1p5C_early","NO/LO","B","","","","","","","","","A","","","","","","","B","","B","","","C","","","B","A","","C","",""
"REMIND-MAgPIE 1.7-3.0","SMP_1p5C_lifesty","NO/LO","C","","","","","","","","","B","","","","","","","B","","A","","","B","B","","","A","","A","B",""
"REMIND-MAgPIE 1.7-3.0","SMP_1p5C_regul","NO/LO","C","","","","","","","","","A","","","","","","","B","","A","","","C","B","","A","A","","C","B",""
"REMIND-MAgPIE 1.7-3.0","SMP_1p5C_Sust","NO/LO","B","","","","","","","","","A","","","","","","","B","","A","","","C","","","A","A","","C","",""
"REMIND-MAgPIE 1.7-3.0","SMP_2C_lifesty","HO","B","B","","","","","","","","A","A","","","","","","","","","A","","","B","","","A","A","A","B","A"
"REMIND-MAgPIE 1.7-3.0","SMP_2C_regul","HO","B","B","","","","","","","","B","","","","","","","B","","A","","","","B","","","A","","A","B",""
"REMIND-MAgPIE 1.7-3.0","SMP_2C_Sust","NO/LO","C","","","","","","","","","B","","","","","","","","A","A","","","B","","","","A","A","A","B",""
"WITCH-GLOBIOM 3.1","SSP1-19","NO/LO","C","","","","","","","","","B","","","A","","","A","","","B","","","C","","","A","","","B","",""
"WITCH-GLOBIOM 3.1","SSP4-19","NO/LO","C","","","","","","","","","B","","","B","","","A","","","B","","","C","","","A","","","B","",""
"WITCH-GLOBIOM 4.2","ADVANCE_2020_1.5C-2100","NO/LO","C","","","","","","","","","A","","","A","","","A","","","A","","","","","","","","","B","",""
"WITCH-GLOBIOM 4.4","CD-LINKS_NPi2020_1000","NO/LO","C","","","","","","","","","C","","","A","","","","","","A","","","A","","A","A","","","A","A",""
"WITCH-GLOBIOM 4.4","CD-LINKS_NPi2020_400","NO/LO","C","","","","","","","","","C","","","A","","","D","","","A","","","A","A","","A","","","B","",""
